Doris Washington	7-(502)158-6725
Alice Allen	4-(049)595-6222
Bonnie Evans	9-(484)287-2845
Susan Nichols	9-(331)402-7141
Andrea Holmes	6-(447)815-7861
Paula Collins	6-(555)941-4218
Sarah Jacobs	2-(282)379-3016
Marie Daniels	8-(339)400-3487
Irene Greene	6-(895)195-6268
Lori Duncan	0-(104)238-1813
Joyce Cole	7-(347)287-2447
Lois Stanley	6-(897)363-0467
Phyllis Griffin	6-(925)199-9847
Brenda Gomez	8-(135)449-1232
Irene Jenkins	0-(267)163-1150
Christina Peters	3-(849)481-0957
Kathryn Adams	2-(783)956-0682
Phyllis Foster	9-(837)629-7395
Debra Duncan	4-(572)621-0310
Ruth Peterson	0-(484)200-4174
Theresa Harris	5-(227)557-3780
Mary Baker	6-(128)645-9545
Paula Murphy	7-(237)243-7135
Michelle Dunn	6-(970)926-5144
Wanda Freeman	2-(222)518-8332
Cheryl Lawrence	2-(857)420-8462
Melissa Hughes	7-(622)291-0103
Janet Walker	2-(538)536-7193
Kathy Mitchell	0-(370)310-4747
Evelyn Watson	0-(383)075-7403
Christina Brown	6-(027)327-1691
Joan Morris	2-(978)428-2408
Jennifer Myers	6-(186)595-6967
Stephanie Mccoy	2-(126)004-9922
Kelly Hughes	1-(018)937-2510
Laura Lawrence	2-(487)450-8238
Janet Morrison	4-(307)686-5469
Elizabeth Ramirez	5-(768)454-3054
Nicole Turner	2-(073)617-3884
Irene Robinson	4-(039)017-9175
Ann Baker	0-(946)872-0196
Cynthia Mccoy	0-(871)376-8813
Diana Taylor	9-(382)771-9837
Diane Evans	6-(406)718-9848
Jane Gibson	9-(528)236-0719
Lillian Flores	6-(811)879-4119
Rachel Mendoza	1-(451)686-0690
Mary Hunter	0-(747)924-4691
Janet Roberts	5-(745)629-9835
Kelly Rice	4-(105)599-5353
Lois Barnes	5-(698)086-2524
Ann Hart	0-(801)611-4073
Nancy Perkins	9-(515)804-7616
Betty Nichols	1-(157)525-0432
Mildred Thompson	6-(796)610-9663
Anna Perkins	0-(748)747-4143
Judy Richards	2-(325)190-9299
Janet Frazier	8-(747)650-6854
Joan Harrison	7-(434)494-5397
Sharon Owens	5-(704)438-1973
Cynthia Gutierrez	7-(540)167-2446
Wanda Kim	6-(197)195-0905
Jacqueline Riley	5-(518)019-8668
Mildred Franklin	0-(655)152-3018
Evelyn Perez	1-(887)537-8403
Amanda Marshall	8-(768)449-2914
Mildred Hamilton	7-(638)224-1060
Sarah Burns	5-(468)849-2538
Beverly Montgomery	7-(797)317-2443
Ann Matthews	6-(975)019-3873
Heather Cook	2-(366)387-3299
Martha Mendoza	8-(453)367-0747
Ruby Mills	3-(047)966-6579
Frances Martinez	6-(268)476-2958
Mary Oliver	8-(614)590-4297
Jessica Murphy	9-(446)224-8720
Janice Ward	0-(711)329-4320
Heather Morrison	9-(947)664-1422
Lisa Stone	0-(295)471-7257
Barbara Hamilton	3-(081)227-1212
Virginia Adams	4-(621)656-1519
Martha Reyes	0-(536)440-3711
Tina Payne	8-(300)961-2165
Theresa Price	3-(261)869-6988
Jacqueline Chapman	9-(875)471-0443
Frances Boyd	9-(990)907-8527
Julia Henry	8-(072)158-9278
Robin Fox	3-(377)029-6526
Helen Dean	7-(519)932-8860
Norma Hawkins	0-(612)510-8719
Betty Lawson	6-(087)855-6417
Diana Gray	1-(564)091-9706
Susan Frazier	5-(606)259-1040
Sandra Gibson	7-(219)698-1456
Cynthia Gonzales	7-(904)068-5818
Barbara Ramos	0-(085)099-2314
Amanda Myers	8-(626)226-2172
Lillian Austin	5-(088)194-9168
Lois Jones	6-(627)388-0846
Ann Gomez	4-(398)946-4289
Jane Rose	6-(716)664-0399
Betty Sanders	1-(462)958-9184
Dorothy Simpson	1-(659)095-7441
Annie Carpenter	2-(169)190-2873
Carol Wagner	4-(626)662-3886
Melissa Stanley	0-(881)513-3899
Dorothy Watkins	6-(735)000-8394
Janet Thomas	8-(416)048-0275
Rachel Black	8-(179)063-1249
Elizabeth Mitchell	9-(973)651-3520
Carol Wood	0-(761)267-0716
Rose Stevens	0-(562)206-7427
Susan Mitchell	4-(812)314-4788
Jane Richardson	4-(614)803-6378
Rose Williams	0-(586)559-7812
Beverly Lawrence	7-(429)341-8341
Paula Ryan	1-(659)886-8961
Angela Banks	9-(134)343-4965
Linda Hall	9-(112)815-1150
Kathleen Welch	3-(997)902-6756
Elizabeth Perry	6-(839)309-1617
Joyce Elliott	9-(486)505-4933
Teresa Ruiz	6-(668)784-6880
Mary Lawrence	3-(432)509-7597
Rebecca Chavez	2-(274)169-1187
Marilyn Flores	1-(178)799-1073
Nancy Simmons	7-(069)744-5646
Lisa Banks	8-(550)588-4378
Angela Kelley	2-(013)774-6326
Beverly Kelly	0-(500)257-5572
Cheryl Greene	1-(229)726-9675
Janice Lawrence	2-(366)899-0196
Janice Franklin	7-(339)853-2812
Kathleen Sullivan	7-(007)793-6736
Michelle Gomez	7-(889)717-1416
Alice Cunningham	4-(602)128-3177
Wanda Lewis	3-(848)432-7271
Sarah Chapman	3-(273)551-7322
Janice Meyer	0-(634)332-5964
Nicole Lawrence	4-(864)359-7817
Gloria Peterson	0-(109)530-8052
Katherine Moreno	0-(142)882-0104
Tina Payne	2-(137)570-1751
Diane Hughes	4-(475)310-0205
Emily Murphy	0-(424)244-7866
Lois Jackson	1-(098)706-5859
Jean Collins	7-(433)415-3310
Ruth Stone	5-(903)566-7700
Beverly Ramirez	2-(658)753-4847
Michelle Wagner	6-(897)763-5502
Theresa King	6-(038)443-8931
Helen Foster	4-(139)308-7083
Kathryn Walker	9-(946)153-0230
Shirley Thomas	4-(858)336-3751
Mildred Henderson	3-(898)886-8327
Diana Watkins	4-(921)268-9763
Ashley Elliott	7-(684)775-4654
Janet Owens	6-(822)085-4666
Virginia Watson	5-(487)147-9940
Anne Bradley	7-(451)878-1678
Ann Medina	8-(031)701-7339
Kathleen Gibson	8-(554)110-8581
Rose Rice	8-(560)938-0123
Ann Torres	7-(085)903-0208
Lillian Morgan	5-(539)955-8584
Lori Bell	1-(753)877-2678
Emily Elliott	7-(843)668-2615
Judy Mcdonald	3-(504)693-7498
Paula Ferguson	9-(148)787-5214
Janice Nichols	7-(036)191-3725
Kelly Wells	6-(086)089-8392
Katherine Stanley	7-(467)982-1620
Irene Jackson	6-(861)522-2750
Dorothy Wood	4-(414)250-2126
Teresa Perry	8-(039)810-4628
Angela Ramos	6-(783)045-2986
Nancy Jones	0-(999)345-0057
Theresa Butler	1-(411)069-1859
Diana Woods	8-(705)703-4011
Paula Hamilton	0-(871)574-3297
Joan Perkins	6-(147)341-7725
Rachel Mills	0-(425)977-8551
Janet Shaw	7-(711)506-8797
Norma Richards	2-(583)917-6028
Janice Wood	3-(293)284-6147
Sandra Webb	4-(812)447-8645
Ashley Parker	2-(716)519-9999
Ruth Jacobs	4-(135)631-3310
Carolyn Ray	4-(823)710-4000
Catherine Young	4-(728)810-4212
Debra Lynch	2-(733)234-7476
Angela Collins	6-(030)285-7037
Judith Bowman	6-(078)940-7572
Margaret Walker	8-(592)297-7676
Dorothy Foster	3-(842)813-6027
Melissa Lynch	3-(190)519-3135
Angela Carter	5-(643)377-9257
Jacqueline Reed	2-(360)270-3878
Kimberly Watson	1-(461)557-7327
Maria Ward	7-(402)839-1783
Mary Lane	6-(683)250-5419
Susan Evans	7-(734)718-6356
Janice Stone	7-(072)582-3562
Karen Freeman	0-(220)728-2738
Michelle Pierce	5-(872)955-1399
Jessica Howell	1-(414)550-8922
Maria Fields	2-(100)349-4825
Theresa Hill	0-(011)846-0508
Jacqueline Phillips	6-(177)336-9006
Christina Burns	7-(571)321-1858
Marilyn Hernandez	7-(765)041-0656
Mildred Baker	4-(884)658-6839
Linda Reynolds	3-(214)657-2286
Robin Gutierrez	1-(061)657-4713
Kathryn Mason	1-(859)370-3723
Evelyn Nichols	4-(427)978-6036
Cynthia Hayes	3-(945)537-9394
Sarah Flores	1-(036)152-0832
Carol Watkins	9-(023)726-7518
Elizabeth Hanson	0-(323)143-0014
Jane Montgomery	9-(473)120-1796
Julia Harrison	8-(019)474-2991
Michelle Barnes	4-(775)672-3108
Christine Boyd	6-(382)495-5946
Evelyn Lee	5-(668)713-0739
Norma Long	3-(886)400-9943
Janice Wagner	6-(317)037-9216
Theresa Fox	1-(688)765-5592
Susan Ellis	3-(915)256-7512
Dorothy Taylor	8-(332)350-8377
Julie Medina	4-(129)565-9908
Marie Stevens	8-(507)144-3618
Cheryl Griffin	5-(355)912-0694
Julia Gordon	1-(243)891-8128
Janice Jackson	8-(990)710-3067
Alice Cunningham	3-(542)175-0991
Anne Harris	9-(651)814-4163
Annie Diaz	2-(705)744-4096
Andrea Cox	4-(791)322-1334
Shirley Kim	1-(219)203-7642
Katherine Lawrence	6-(458)667-0435
Diane Knight	4-(774)315-7924
Judith Mason	4-(672)329-5397
Amanda Perkins	5-(306)247-0942
Mildred Robinson	0-(036)088-9921
Betty Anderson	9-(594)891-0517
Rachel Moore	6-(682)742-9155
Teresa Russell	0-(942)366-6508
Annie Warren	8-(603)130-8123
Stephanie Thompson	1-(852)737-4725
Cynthia Long	9-(382)530-6726
Catherine Fields	4-(069)338-8928
Kathleen Cook	2-(436)286-8418
Debra Garcia	5-(946)791-1049
Sharon Gardner	5-(246)425-7572
Linda Long	5-(652)074-4649
Cynthia Watson	5-(536)694-5616
Catherine Allen	6-(665)680-3745
Carolyn Boyd	8-(526)050-4584
Wanda Mason	2-(061)057-3889
Louise Morgan	2-(150)747-5561
Michelle Fowler	0-(941)162-9912
Lillian Fowler	2-(369)659-2612
Paula Cox	9-(417)931-7098
Emily Williams	6-(202)205-6259
Ruby Turner	6-(248)274-0112
Debra Rice	7-(905)210-8837
Judy Jordan	7-(947)781-5989
Tina Hart	4-(142)885-3137
Teresa Bradley	4-(434)036-3339
Ruth Ward	1-(987)386-5448
Jessica Jackson	2-(888)115-4357
Lisa Sanchez	9-(720)566-4419
Cynthia Ramos	9-(454)844-3097
Norma Reed	2-(934)085-1345
Diane Hanson	5-(448)227-1222
Rachel Wagner	4-(508)354-8877
Jane Gardner	4-(652)240-3858
Annie Wallace	1-(548)467-2427
Lois Lawson	2-(536)901-5866
Mildred Hunter	5-(587)228-6383
Anne Payne	7-(723)463-0588
Patricia Gomez	9-(870)708-5482
Susan Simpson	3-(152)845-1175
Teresa Gordon	4-(340)027-6161
Judy Chapman	4-(606)609-0887
Bonnie Shaw	3-(146)670-7021
Frances Mitchell	3-(388)531-3004
Heather Berry	2-(800)772-7550
Cheryl Evans	8-(296)612-2841
Angela Davis	1-(940)757-0011
Kelly Ramos	0-(654)667-1026
Deborah Robertson	7-(385)747-5623
Kimberly Hill	4-(225)561-3090
Theresa Parker	9-(345)837-8796
Pamela Holmes	8-(234)950-4653
Lisa Day	3-(220)954-6996
Shirley Watson	0-(131)909-3127
Cheryl Woods	3-(086)804-6552
Judith Morrison	2-(068)193-8901
Diane Weaver	4-(551)873-4901
Carolyn Ruiz	9-(081)485-3755
Amanda Little	0-(698)110-9154
Donna Harvey	5-(926)650-7089
Nicole Murray	2-(333)348-0473
Martha Wilson	6-(401)322-0242
Diane Meyer	6-(927)269-2683
Ruby Hughes	1-(254)312-3928
Jessica Reynolds	2-(292)285-5826
Mary Mills	0-(424)602-7132
Judith Hill	2-(328)653-8198
Debra Reynolds	7-(980)971-6552
Kimberly Ortiz	1-(935)844-5218
Pamela Grant	1-(746)092-1440
Emily Montgomery	1-(399)393-7248
Janice Willis	5-(814)854-2245
Rebecca Harris	2-(783)863-4046
Mildred Morales	3-(824)576-4364
Carol Robinson	7-(971)846-6918
Frances Boyd	6-(054)725-5767
Brenda Torres	2-(512)701-9183
Rebecca Arnold	6-(933)490-2997
Angela Davis	5-(520)986-1782
Joan Perry	3-(956)565-7255
Kathy Powell	0-(393)741-6283
Amanda Vasquez	1-(619)443-9071
Teresa Lewis	3-(407)413-3125
Diane Harvey	7-(474)027-5885
Anne Ruiz	3-(482)970-8281
Pamela Harris	9-(542)011-0683
Melissa Long	2-(978)343-5567
Ruth Frazier	7-(731)379-9050
Patricia George	4-(496)835-9471
Theresa Perkins	8-(194)098-3959
Amy Duncan	1-(069)085-0061
Brenda Taylor	6-(218)974-3957
Katherine Hughes	5-(569)030-5431
Julie Elliott	2-(206)342-8807
Rose Ferguson	4-(869)504-3607
Andrea Morales	1-(486)765-8152
Barbara Harvey	6-(109)367-3148
Lori Wheeler	4-(559)592-5008
Kelly Holmes	1-(635)301-0204
Anne Rose	8-(917)356-0637
Michelle Gray	0-(346)032-6411
Mildred Hughes	0-(893)558-8510
Stephanie Rice	9-(776)711-0816
Kimberly Medina	9-(947)658-8248
Evelyn Kennedy	1-(220)180-4792
Amanda Richards	4-(601)962-0131
Doris Ruiz	1-(722)695-7794
Judy Price	6-(443)054-7530
Beverly Washington	8-(775)867-8986
Judith Wagner	9-(729)278-8988
Lisa Owens	9-(933)190-0230
Jacqueline Simmons	6-(913)230-2572
Denise Hanson	5-(316)972-7530
Catherine Chavez	5-(591)553-4511
Kathryn Gray	6-(546)680-2698
Mildred Sanchez	3-(137)511-0767
Stephanie Alvarez	8-(345)655-3395
Kathleen Stewart	3-(303)694-3033
Phyllis Snyder	7-(684)011-9779
Jennifer Brown	4-(305)026-1110
Theresa Stanley	4-(933)225-9915
Carol Wheeler	9-(180)054-7170
Michelle Fuller	8-(279)705-0280
Mary Murphy	5-(109)438-0894
Betty Hernandez	4-(444)805-8403
Catherine Garcia	2-(938)810-6519
Rose Medina	7-(401)334-7992
Diana Evans	7-(778)481-3225
Lois Jacobs	2-(604)706-1455
Jessica Lee	3-(602)835-3935
Denise Meyer	4-(624)251-1703
Denise Harvey	4-(805)271-6427
Catherine Wells	1-(845)758-6444
Sarah Henderson	5-(810)115-0817
Debra Hunt	1-(864)597-3033
Heather Chavez	0-(502)780-2165
Melissa White	7-(161)893-4748
Louise Austin	4-(226)406-0814
Carol Dunn	4-(688)511-9475
Pamela Bell	6-(325)414-8174
Sara Armstrong	1-(992)798-6077
Marie Dunn	1-(740)478-3237
Nancy Freeman	0-(523)580-2734
Wanda Bennett	6-(669)173-0272
Carolyn Robinson	2-(354)303-3216
Helen Peters	5-(040)760-2728
Louise Crawford	3-(432)646-4041
Jennifer Williamson	0-(103)425-7337
Michelle Ross	2-(798)225-7438
Andrea Griffin	1-(672)708-5573
Rose Anderson	1-(439)075-7250
Virginia Stewart	2-(044)683-7472
Paula Clark	4-(591)925-9040
Debra Garcia	3-(197)202-7431
Annie Olson	4-(469)407-3520
Ann Simmons	1-(190)204-1784
Cynthia Meyer	8-(945)152-5106
Theresa Burton	0-(899)760-4986
Marilyn Hansen	1-(171)102-8802
Gloria Black	9-(973)325-2405
Phyllis Alvarez	7-(803)709-8985
Marilyn Garcia	2-(068)151-2844
Sharon Perez	5-(363)884-3451
Catherine Kim	5-(642)207-9440
Deborah Perez	4-(520)869-6574
Rebecca Cole	9-(143)780-0888
Carolyn Reid	3-(281)302-1916
Lori Reid	9-(487)319-2688
Sharon Lee	1-(327)742-7373
Janet Young	0-(311)378-8685
Denise Carroll	3-(116)580-9902
Denise Cooper	9-(872)338-1873
Martha Moore	2-(733)075-4430
Debra Payne	2-(528)707-1111
Irene Thompson	4-(595)718-8144
Alice Cruz	2-(203)760-9777
Paula Vasquez	4-(181)715-2590
Ruth Perry	3-(819)632-1395
Evelyn Peters	2-(221)708-1559
Deborah Lawrence	5-(182)142-7204
Laura Evans	2-(099)358-3201
Ann Reed	3-(753)315-6729
Jennifer Simpson	3-(600)517-7168
Carol Garcia	2-(717)175-6655
Denise James	0-(131)798-3803
Stephanie Austin	3-(352)854-5287
Helen Flores	0-(509)535-3233
Cynthia Warren	5-(205)021-8589
Jennifer Morales	5-(206)435-5669
Marie Cole	4-(493)324-3873
Barbara Green	4-(206)789-5870
Brenda Bishop	7-(379)378-8025
Cynthia Lopez	3-(867)958-6031
Helen Wagner	1-(375)307-9418
Elizabeth Patterson	4-(096)491-3054
Christine Dunn	9-(396)318-6472
Martha Ruiz	0-(688)061-4831
Nancy Lee	7-(275)305-7288
Jane Morgan	5-(551)230-3228
Lillian Warren	5-(591)582-5605
Brenda Hamilton	3-(565)474-4892
Betty Austin	0-(878)588-4188
Patricia Scott	7-(742)522-5810
Betty Bowman	2-(284)988-0312
Tammy Stone	8-(023)197-4524
Ruth Duncan	5-(984)702-0850
Marie Franklin	4-(545)371-3165
Sara Bryant	4-(537)359-4782
Julie Washington	5-(308)705-0295
Tammy Bishop	9-(820)285-1581
Kathleen Fox	1-(246)421-0142
Sarah Kelley	6-(604)030-3439
Phyllis Snyder	5-(912)356-9022
Annie Long	2-(236)844-4985
Phyllis Ramirez	7-(918)013-5989
Melissa Hansen	7-(707)050-8786
Amy Carroll	0-(379)569-5894
Amanda Hernandez	5-(630)748-6407
Alice Reed	6-(182)542-8401
Paula Howell	2-(150)063-3832
Carolyn Russell	6-(198)697-2940
Robin Fuller	1-(710)056-9853
Karen Franklin	5-(828)460-2423
Anna Chavez	1-(163)714-1034
Ann Thompson	0-(610)203-7535
Julie George	4-(124)240-6261
Gloria Harper	3-(595)704-2578
Patricia Vasquez	5-(855)068-6608
Alice Hunter	2-(140)864-6989
Lori Carr	3-(790)976-3487
Kathleen Carter	8-(193)849-5145
Mildred Vasquez	8-(056)670-2577
Mary Chavez	9-(982)250-0759
Diane Davis	3-(550)909-1999
Tammy Little	8-(081)441-6825
Sarah James	1-(588)404-0999
Patricia Sullivan	6-(473)744-2828
Frances Howell	5-(293)607-3518
Ashley Cunningham	9-(990)977-6826
Evelyn Howell	7-(362)741-1805
Margaret Duncan	0-(355)313-9678
Deborah Larson	9-(386)667-5921
Cheryl Foster	5-(248)865-9547
Marilyn Mills	3-(533)969-6543
Susan Stewart	7-(077)034-0583
Anna Ramos	9-(554)279-1860
Sarah Medina	6-(436)251-1398
Kathleen Roberts	9-(096)441-4337
Jane Simmons	2-(753)269-8303
Emily White	5-(846)236-2650
Evelyn Andrews	3-(787)475-4627
Janet Powell	5-(581)726-6473
Anne Banks	1-(644)818-8823
Donna Arnold	8-(045)741-1306
Joan Graham	2-(157)092-5273
Melissa Olson	3-(229)780-5704
Diane Gomez	0-(442)562-9953
Mildred Collins	2-(567)781-3536
Kimberly Taylor	4-(465)169-4683
Ann Woods	1-(805)530-5641
Sharon Cooper	1-(818)745-0672
Cynthia Hart	8-(913)588-6657
Christine Wright	6-(157)120-1095
Ruth Frazier	7-(416)129-8912
Jessica Vasquez	3-(480)095-0174
Angela Fox	8-(930)497-2739
Sharon Warren	1-(300)540-1544
Anna Hudson	3-(252)380-8619
Jennifer Sanders	2-(087)480-0694
Rachel Fields	4-(349)416-5352
Michelle Vasquez	1-(678)225-9658
Elizabeth Bradley	0-(512)558-7654
Kimberly Boyd	9-(122)801-3063
Helen Ruiz	9-(754)351-6320
Anna Kim	1-(283)694-0234
Sara Price	5-(359)703-9123
Linda Gordon	0-(984)420-5412
Susan Jordan	1-(688)531-6385
Cheryl Spencer	4-(669)792-3157
Donna Perry	2-(063)874-0716
Barbara Weaver	8-(816)786-8758
Melissa Gonzalez	8-(290)097-4179
Brenda Richards	9-(911)231-9372
Betty Day	2-(412)982-9086
Paula Gonzalez	0-(275)192-5071
Amy Sullivan	0-(324)401-9998
Diane Powell	6-(021)225-7095
Anne Marshall	6-(124)923-8860
Jennifer Gonzalez	0-(562)604-4309
Amy Butler	1-(035)025-1196
Nancy Kennedy	2-(605)200-7541
Angela Hunter	4-(675)140-0003
Cynthia Jones	6-(079)045-2919
Susan Lawrence	6-(894)946-3538
Julia Perry	5-(161)041-9840
Melissa Hall	9-(860)279-2838
Dorothy Turner	5-(366)011-8002
Anne Reed	9-(329)583-3215
Judith Torres	2-(169)925-4656
Rebecca Gordon	7-(255)320-4005
Shirley Gilbert	4-(231)378-3038
Debra Hawkins	6-(029)839-2481
Shirley Johnson	2-(340)761-4762
Laura Montgomery	5-(586)719-0784
Sandra Wagner	0-(867)663-2391
Emily Flores	1-(010)179-8513
Judith Hall	8-(092)519-6634
Jean Collins	3-(919)005-8551
Marilyn Clark	9-(793)414-7816
Kathy Duncan	0-(831)870-2596
Tina Diaz	4-(723)111-4388
Kathryn Weaver	8-(598)863-9752
Marilyn Payne	1-(036)923-5379
Nicole Hanson	3-(913)444-7733
Bonnie Williams	8-(264)539-4965
Elizabeth Crawford	7-(363)299-7259
Anne Parker	5-(679)321-3891
Irene Hanson	9-(292)523-8513
Kimberly Taylor	8-(575)240-9542
Marie Bryant	7-(910)703-5129
Katherine Collins	1-(850)430-4456
Lois Miller	4-(541)627-8121
Janet Cole	7-(040)940-7291
Beverly Butler	6-(110)559-6424
Joyce Sullivan	8-(102)422-9296
Maria Martinez	9-(156)686-6049
Linda Smith	1-(517)222-1086
Virginia Howell	4-(791)721-7384
Jacqueline Davis	1-(048)149-8711
Dorothy Perez	2-(255)661-2294
Rose Williams	4-(409)807-8954
Janice Cox	5-(360)498-6542
Rose Jones	9-(396)461-2418
Elizabeth Lawrence	0-(105)141-5928
Tina Moore	1-(136)007-5390
Andrea Fox	3-(513)080-6769
Kimberly Ortiz	5-(285)664-8100
Julia Bailey	3-(348)898-6873
Jean Wilson	7-(235)059-0477
Anne Elliott	7-(639)084-6361
Pamela Morales	6-(778)259-4124
Joan Gilbert	7-(645)094-7699
Wanda Bradley	3-(721)167-9568
Carolyn Shaw	3-(760)341-1456
Anne Taylor	4-(873)971-2790
Laura Gutierrez	8-(913)759-4643
Lillian Bennett	2-(705)850-8543
Nancy Campbell	3-(154)934-4390
Donna Wood	1-(897)490-3692
Kelly Armstrong	3-(430)923-8905
Cynthia Morales	2-(382)118-7487
Kathy Rose	4-(771)824-8101
Andrea Fox	1-(245)623-6276
Judy Griffin	8-(996)665-4942
Robin Dean	5-(241)770-5533
Tina Jenkins	1-(931)159-1823
Laura Ray	2-(406)493-6969
Joyce Cox	0-(901)447-5666
Jane Andrews	1-(523)207-3572
Michelle Schmidt	6-(523)149-4253
Rachel Myers	0-(050)004-9775
Alice Harrison	7-(324)634-9851
Christina West	5-(722)812-5195
Doris Washington	6-(679)829-7250
Kathy Schmidt	6-(807)519-5031
Teresa Webb	2-(323)393-0053
Amy Henry	1-(220)585-4102
Ruth Kelley	0-(354)424-0262
Helen Carpenter	4-(520)481-9467
Rachel Stevens	1-(515)175-4591
Kathy Burns	1-(912)863-5912
Ashley Vasquez	6-(929)162-3736
Julie Wilson	7-(783)743-9553
Mary Jackson	1-(808)716-2167
Shirley Frazier	8-(022)290-1131
Kathleen Perry	8-(293)480-1284
Michelle Franklin	8-(658)588-8408
Michelle Elliott	7-(000)943-2897
Phyllis Murphy	8-(342)383-7361
Beverly Scott	5-(023)639-2317
Evelyn Dixon	0-(828)820-2285
Ann Lawrence	9-(904)962-4523
Tammy Garcia	6-(604)103-5288
Katherine Bowman	7-(957)644-1519
Lisa Marshall	6-(858)759-0723
Brenda Holmes	2-(112)065-7092
Diane King	3-(301)726-4460
Ruth Lewis	0-(292)164-0946
Susan Warren	2-(633)361-9554
Diane Fuller	4-(293)379-3159
Sharon Perez	8-(223)826-2057
Diana Fisher	9-(569)698-7387
Frances Dunn	7-(011)761-5614
Ann Dean	1-(946)103-4631
Michelle Hunt	4-(622)534-8818
Carolyn Stanley	4-(835)948-3248
Frances Cooper	6-(242)792-4902
Robin Perry	9-(845)680-7832
Anna Vasquez	0-(757)474-8663
Martha Sullivan	8-(657)473-1457
Rachel Ryan	9-(615)724-1122
Robin Harrison	2-(603)280-5313
Linda Shaw	0-(107)925-8897
Angela Boyd	3-(081)864-5201
Melissa Clark	2-(597)043-1886
Dorothy Thompson	1-(625)421-2772
Norma Russell	6-(145)746-6453
Deborah Russell	0-(140)108-0830
Cynthia Pierce	6-(272)158-6427
Ruth Roberts	7-(433)534-1527
Norma Hall	2-(953)241-0330
Virginia Bryant	7-(454)992-8779
Theresa Harrison	3-(257)663-3729
Irene Garza	2-(457)519-9184
Sara Castillo	6-(982)342-5858
Annie Williams	8-(872)406-2281
Ruby Welch	0-(350)838-1641
Michelle Myers	5-(025)977-1203
Barbara Gutierrez	8-(646)295-8821
Betty Gonzalez	3-(091)002-9347
Rebecca Flores	3-(988)892-8425
Margaret Anderson	9-(351)794-6927
Diana Matthews	4-(177)513-2220
Barbara Price	7-(338)443-5345
Christina Gonzalez	6-(575)056-0140
Marilyn Allen	0-(036)144-7806
Michelle Dixon	7-(554)127-2984
Laura Simpson	9-(827)500-7219
Phyllis Reynolds	9-(092)072-8220
Melissa Bennett	0-(792)593-4059
Deborah Rose	8-(637)658-1775
Norma Gilbert	7-(586)408-5059
Cheryl Ramos	4-(286)914-8233
Pamela Perez	2-(462)861-4943
Diane Romero	1-(641)100-4961
Jane Elliott	0-(517)748-3138
Judy Garrett	3-(041)177-6572
Debra Andrews	1-(096)413-7419
Christina Chapman	5-(136)211-3517
Kelly Berry	4-(737)365-3688
Janet Lopez	8-(473)760-3034
Louise Collins	7-(918)210-0651
Frances Murphy	8-(093)587-0638
Wanda Carpenter	1-(485)795-1332
Julie Parker	0-(164)534-3874
Linda Clark	1-(086)025-0085
Jean Gibson	7-(641)018-9081
Evelyn Ward	2-(533)246-2596
Pamela Dean	1-(013)709-7284
Janet Spencer	6-(744)886-9623
Karen Turner	4-(298)777-0035
Joyce Anderson	4-(124)310-6766
Kelly Thomas	2-(035)611-2200
Sarah Murray	9-(414)982-2389
Rose Simmons	8-(091)109-6356
Melissa Perez	1-(098)875-3734
Jessica Wagner	5-(587)913-9744
Barbara Thomas	0-(647)622-1861
Michelle Gray	8-(196)704-4459
Christina Cooper	7-(089)489-1802
Martha Hill	2-(471)524-1069
Tammy Fields	0-(935)313-2144
Wanda Robertson	2-(873)191-7926
Brenda George	0-(537)865-7084
Janet Freeman	5-(078)807-6264
Beverly Hansen	5-(580)152-9199
Rebecca Cook	0-(573)458-8963
Brenda Campbell	9-(638)446-7115
Lisa Jenkins	4-(346)865-9950
Karen Kelley	5-(457)639-4035
Cheryl Alexander	0-(590)633-5376
Janice Allen	7-(250)369-1034
Gloria Stevens	2-(359)837-9655
Melissa Evans	8-(821)264-5572
Janice Castillo	4-(044)954-5236
Donna Cole	0-(924)793-5336
Jean Freeman	7-(320)408-8626
Jane Kennedy	3-(429)098-9060
Ashley Harris	9-(145)399-6346
Elizabeth Romero	9-(478)558-6638
Denise Phillips	3-(776)857-7001
Janet Hudson	1-(890)588-8482
Kimberly Warren	9-(082)098-7045
Louise Riley	7-(063)185-8987
Irene Ray	8-(640)454-5344
Linda Romero	8-(406)116-3477
Linda Reid	2-(514)733-6895
Kathryn Hayes	9-(161)659-9930
Irene Garcia	7-(277)240-6563
Tammy Cox	2-(606)971-6102
Lois Hicks	9-(973)782-7293
Mary Sanders	4-(888)878-1874
Martha Howell	0-(379)585-1851
Anna Arnold	8-(029)815-9070
Jennifer Mccoy	2-(283)619-6564
Catherine Ramirez	8-(397)056-7129
Anna Olson	7-(621)782-0893
Mary Washington	1-(025)106-9358
Helen Allen	4-(719)874-5459
Laura Frazier	2-(920)751-0392
